Metric,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,Jul-27,Aug-27,Sep-27,Oct-27,Nov-27,Dec-27,Jan-28,Feb-28,Mar-28,Apr-28,May-28,Jun-28,Jul-28,Aug-28,Sep-28,Oct-28,Nov-28,Dec-28,Jan-29,Feb-29,Mar-29,Apr-29,May-29,Jun-29,Jul-29,Aug-29,Sep-29,Oct-29,Nov-29,Dec-29,Jan-30,Feb-30,Mar-30,Apr-30,May-30,Jun-30,Jul-30,Aug-30,Sep-30,Oct-30,Nov-30,Dec-30,Jan-31,Feb-31,Mar-31,Apr-31,May-31,Jun-31,Jul-31,Aug-31,Sep-31,Oct-31,Nov-31,Dec-31
Year,2026,2026,2026,2026,2026,2026,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2029,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031,2031
Month,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Rev_FeeCollection,20420.14,21017.58,22252.98,22620.68,23657.41,23387.85,23472.18,26024.84,26655.63,25266.64,28895.28,29669.68,29852.55,30366.11,31797.25,31987.86,33127.12,32447.44,32280.12,35494.54,36069.41,33934.77,38532.75,39297.83,39284.97,39714.64,41341.51,41355.03,42596.82,41507.04,41088.06,44964.24,45483.19,42602.9,48170.22,48925.98,48717.39,49063.18,50885.78,50722.21,52066.52,50566.63,49896,53644.8,53328,49104,54595.2,54542.4,53433.6,52958.4,54067.2,53064,53644.8,51321.6,49896,53644.8,53328,49104,54595.2,54542.4,53433.6,52958.4,54067.2,53064,53644.8,51321.6,49896
Rev_HR_Module,0,0,0,0,0,0,0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,855.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,3960.0,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,7837.5,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0,13200.0
Rev_Portrait_Module,0,0,0,0,0,0,0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,1487.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,4461.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,9077.0,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,16122.5,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0,24299.0
Rev_Total,21542.25,22222.38,23577.63,24013.61,25159.46,24914.67,25043.9,29802.16,30794.05,29556.6,33855.69,35008.75,35491.92,36341.26,38240.13,38714.41,40284.07,39727.83,39755.11,47382.03,48291.39,45953.47,51683.16,52822.46,53016.76,54452.82,57380.84,58278.78,60742.87,60145.27,60374.94,74117.03,75629.59,72396.64,80952.48,82802.72,83261.41,84497.17,87892.57,88367.64,91076.54,89499.65,89128.4,105768.32,105285.2,98843.6,107217.68,107137.16,105446.24,104721.56,106412.48,104882.6,105768.32,102225.44,100051.4,119307.32,118824.2,112382.6,120756.68,120676.16,118985.24,118260.56,119951.48,118421.6,119307.32,115764.44,113590.4
Cost_Infra_ManagementFee,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Cost_Infra_Repayment,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1500,1500,1500,1500,1500,999.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost_Infra_Total,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,2000,2500,2500,2500,2500,2500,1999.99,1000,1000,1000,1000,1000,1000,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,3990.05,13990.05,3990.05,3990.05,3990.05,3990.05,3990.05,4019.75,4019.75,4019.75,4019.75,4019.75,4019.75,19019.75,4019.75,4019.75,4019.75,4019.75,4019.75,4050.34,4050.34,4050.34,4050.34,4050.34,4050.34,24050.34,4050.34,4050.34,4050.34,4050.34,4050.34
Cost_Mgmt_CEO,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,4115.77,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,5150.32,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6414.78,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,6702.15,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7003.89,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72,7320.72
